noisy,negative
fast,positive
repulsive,negative
revolting,negative
sweet,positive
terrible,negative
wonderful,positive
damaged,negative
delightful,positive
fantastic,positive
perfect,positive
disgusted,negative
depressed,negative
splendid,positive
successful,positive
good,positive
dull,negative
elegant,positive
poor,negative
easy,positive
popular,positive
special,positive
important,positive
beautiful,positive
nice,positive
quaint,negative
expensive,negative
nice,positive
questionable,negative
pathetic,negative
stupid,negative
horrible,negative
adorable,positive
awesome,positive
incompetent, negative
